hash_algorithm,key_size,message_size,sign_delay_ms,verify_delay_ms,transmission_delay_ms
RIPEMD256,256,50,0.2884830115363001,0.8501820010133088,1.039351006038487
RIPEMD256,256,100,0.323682997841388,1.0052649839781225,1.2166980095207691
RIPEMD256,256,150,0.28219500323757524,1.0337039921432734,1.223838988225907
RIPEMD256,256,200,0.2961370139382779,1.2383580021560192,1.4380830060690641
RIPEMD256,256,250,0.30267699388787145,1.3259740127250552,1.531982000451535
RIPEMD256,512,50,1.082042008638382,2.500733998604119,2.6803949917666614
RIPEMD256,512,100,1.083462992683053,2.597560998983681,2.781595003325492
RIPEMD256,512,150,1.0939259943552315,2.548164997715503,2.7248550159856677
RIPEMD256,512,200,1.0677259997464716,2.844629001338035,3.0251800175756216
RIPEMD256,512,250,1.13772600190714,2.8644859977066517,3.0471809883601964
RIPEMD256,1024,50,5.289797983132303,11.484848002437502,11.670205006375909
RIPEMD256,1024,100,5.609903982840478,12.649199003353715,12.857328010722995
RIPEMD256,1024,150,5.335799008607864,11.746451994404197,11.940325004979968
RIPEMD256,1024,200,5.631819986738265,12.20179699594155,12.408155992161483
RIPEMD256,1024,250,5.583398002199829,12.515332999173552,12.715175985358655
RIPEMD256,2048,50,33.920263005420566,71.70975798973814,71.92435301840305
RIPEMD256,2048,100,34.92825102061033,72.00707401148975,72.23173398990184
RIPEMD256,2048,150,35.908495008479804,76.0398349747993,76.27934901975095
RIPEMD256,2048,200,34.803324008826166,74.72437100252137,74.95127498405054
RIPEMD256,2048,250,25.736367993522435,53.147097991313785,53.4218230121769
SHA256,256,50,0.1324920041952282,0.3340420068707317,0.5068139918148518
SHA256,256,100,0.12964600115083155,0.3314019984100014,0.4990349942818284
SHA256,256,150,0.13056900468654928,0.3301289980299771,0.5013830016832799
SHA256,256,200,0.13034600066021082,0.3354670014232397,0.5113070004153997
SHA256,256,250,0.13294100179336962,0.33890899969264865,0.48592300270684063
SHA256,512,50,1.2550049996934831,2.6658179936930537,3.197525003924966
SHA256,512,100,1.146601001964882,2.7857910038437694,3.0200209957547486
SHA256,512,150,1.1588780104648322,2.710300999460742,2.9096700076479465
SHA256,512,200,1.1413659935351461,2.6709849992766976,2.872912004822865
SHA256,512,250,1.0993729997426271,2.6278730062767863,2.9621769988443702
SHA256,1024,50,6.363670001737773,13.863110993988812,14.123450997285545
SHA256,1024,100,3.8905030000023544,8.973619990283623,9.268471003742889
SHA256,1024,150,3.1007690040860325,6.900644002016634,7.193448001053184
SHA256,1024,200,3.369140998693183,7.584384998772293,7.871161996154115
SHA256,1024,250,3.082486999919638,6.956205002497882,7.256935008335859
SHA256,2048,50,19.842850004788488,42.14595100027509,42.45371800730936
SHA256,2048,100,19.93963899440132,42.258361999411136,42.55699798814021
SHA256,2048,150,19.8537840123754,42.45642699301243,42.76401400566101
SHA256,2048,200,19.89413799252361,42.32851701788604,42.6289299945347
SHA256,2048,250,22.726385011337698,49.052520010154694,49.34110900387168
SHA384,256,50,0.342469981405884,0.9490430005826056,1.1560139991343021
SHA384,256,100,0.34236400853842497,0.9365639952011406,1.1411820049397647
SHA384,256,150,0.314937001094222,0.9214580012485385,1.127920988947153
SHA384,256,200,0.2152570127509534,0.6277539976872504,0.8093350240960717
SHA384,256,250,0.296361984219402,0.8667340129613876,1.0679250163957477
SHA384,512,50,1.1799869989044964,3.060977989807725,3.271598997525871
SHA384,512,100,1.0595579934306443,2.6967819943092763,2.8724619862623513
SHA384,512,150,1.0547829931601882,2.7384649985469878,2.9192719981074333
SHA384,512,200,1.1068509868346155,2.830346014816314,3.0121329915709794
SHA384,512,250,1.1770949815399945,2.9575459845364094,3.146651010029018
SHA384,1024,50,5.434432998299599,12.500714007765055,12.680041987914592
SHA384,1024,100,5.7518749963492155,12.991973005700856,13.187451006378978
SHA384,1024,150,6.023579004686326,13.326942988205701,13.522716998122633
SHA384,1024,200,5.113667007535696,12.314003990031779,12.49668400734663
SHA384,1024,250,4.642974003218114,10.572644993662834,10.804070013109595
SHA384,2048,50,24.83037499943748,53.08087098877877,53.360466009471565
SHA384,2048,100,22.637373991310596,47.960961007047445,48.259058005642146
SHA384,2048,150,19.870871992316097,43.47315298393369,43.786068002227694
SHA384,2048,200,35.68265701178461,76.36273900046945,76.6057090042159
SHA384,2048,250,35.378142008557916,75.04302800865844,75.26929900282994
